Material,tipo,Cantidad total
620005,agua,762.5
620005,colorante,2.5
620005,emulsionante,170.0
620005,excipiente,65.0
620025,agua,663.0
620025,colorante,1.4
620025,emulsionante,200.0
620025,excipiente,135.6
620075,excipiente,174.86
620075,emulsionante,190.0
620075,agua,626.02
620075,colorante,9.12
620105,agua,570.64
620105,colorante,32.5
620105,emulsionante,220.0
620105,excipiente,176.86
620115,excipiente,179.86
620115,emulsionante,220.0
620115,agua,586.33
620115,colorante,13.8
620205,agua,590.6
620205,colorante,20.0
620205,emulsionante,230.0
620205,excipiente,167.36
620305,agua,649.14
620305,colorante,4.0
620305,emulsionante,180.0
620305,excipiente,166.86
620315,agua,650.64
620315,colorante,4.0
620315,emulsionante,150.0
620315,excipiente,195.36
620405,excipiente,209.86
620405,emulsionante,180.0
620405,agua,576.14
620405,colorante,34.0
620505,agua,682.34
620505,colorante,1.8
620505,emulsionante,190.0
620505,excipiente,125.86
620705,agua,530.14
620705,colorante,30.0
620705,emulsionante,240.0
620705,excipiente,199.86
620905,excipiente,125.86
620905,agua,681.44
620905,colorante,2.7
620905,emulsionante,190.0
620945,excipiente,175.5
620945,emulsionante,140.0
620945,colorante,3.0
620945,agua,681.5
620955,agua,682.55
620955,colorante,1.95
620955,emulsionante,140.0
620955,excipiente,175.5
620995,excipiente,175.5
620995,agua,681.8
620995,colorante,2.7
620995,emulsionante,140.0
621005,emulsionante,230.0
621005,excipiente,207.96
621005,agua,501.54
621005,colorante,60.5
621055,excipiente,230.46
621055,emulsionante,150.0
621055,colorante,30.7
621055,agua,588.84
621115,agua,586.83
621115,colorante,13.31
621115,emulsionante,220.0
621115,excipiente,179.86
621705,agua,501.62
621705,colorante,60.41
621705,emulsionante,230.0
621705,excipiente,207.96
622075,agua,577.54
622075,colorante,39.0
622075,emulsionante,150.0
622075,excipiente,233.46
623005,excipiente,207.96
623005,emulsionante,260.0
623005,colorante,45.4
623005,agua,486.64
623225,agua,590.0
623225,colorante,29.54
623225,emulsionante,210.0
623225,excipiente,170.46
623525,agua,605.84
623525,colorante,38.2
623525,emulsionante,160.0
623525,excipiente,195.96
624005,agua,490.74
624005,colorante,33.8
624005,emulsionante,270.0
624005,excipiente,205.46
624085,excipiente,169.96
624085,emulsionante,270.0
624085,agua,510.74
624085,colorante,49.3
624455,agua,515.64
624455,colorante,50.9
624455,emulsionante,200.0
624455,excipiente,233.46
624505,agua,578.84
624505,colorante,28.2
624505,emulsionante,220.0
624505,excipiente,172.96
624605,agua,539.04
624605,colorante,30.5
624605,emulsionante,260.0
624605,excipiente,170.46
625005,emulsionante,220.0
625005,excipiente,205.46
625005,colorante,27.91
625005,agua,546.62
625065,agua,483.94
625065,colorante,41.2
625065,emulsionante,260.0
625065,excipiente,214.86
625085,agua,525.74
625085,colorante,33.4
625085,emulsionante,270.0
625085,excipiente,170.86
625135,agua,598.32
625135,colorante,16.82
625135,emulsionante,210.0
625135,excipiente,174.86
625175,colorante,29.74
625175,emulsionante,260.0
625175,agua,530.4
625175,excipiente,179.86
625225,excipiente,179.86
625225,emulsionante,210.0
625225,agua,586.64
625225,colorante,23.5
625285,agua,593.64
625285,colorante,23.5
625285,emulsionante,180.0
625285,excipiente,202.86
625305,agua,549.09
625305,colorante,33.55
625305,emulsionante,210.0
625305,excipiente,207.36
